Code,Item
53111,Refrigrator
53112,Refrigrator
53113,Washer
53116,Oven
71111,Car
71112,Car
71116,Car
71117,Car
72111,Car_Tire
72319,Car_Repair
72118,Car_Motor
82113,Cellphone
91128,TV
91129,TV
91111,TV
91112,TV
91113,TV
91114,TV
91115,TV
91311,Computer
53125,AC
