ISIC4,Activity
2513,تولیدمولدهای بخار، بجزدیگهای آب گرم حرارت مرکزی
2520,تولید اسلحه ومهمات
2591,چکش کاری، پرسکاری، قالب زنی، پتک کاری، شكل دهي فلزات با غلتك ومتالوژی گردها
2592,عمل آوری وروکش کردن فلزات ؛ ماشین کاری
2593,تولید آلات برنده وابزار دستی ویراق آلات عمومی
2599,تولید سایرمحصولات فلزی ساخته شده طبقه‌بندی نشده درجای دیگر
2610,ساخت تخته مدار و قطعات الکترونیکی
2620,تولید رایانه و تجهیزات جانبی
2630,ساخت تجهیزات مخابراتی
2640,ساخت کالاهای مصرفی الکترونیکی
2651,ساخت تجهیزات اندازه گیری، آزمون، راهبری و کنترل
2652,تولید انواع ساعت
2660,ساخت تجهیزات پرتودهی، الکتروپزشکی والکترودرمانی
2670,تولید ابزارهاي اپتيكي و تجهيزات عكاسي
2680,تولید رسانه های نوری و مغناطیسی
2710,تولید موتور برقی، دینام و ترانسفورماتور و دستگاه های توزیع و کنترل برق
2720,تولید باتری و انباره
2731,تولید کابل های فیبر نوری
2732,تولید سایر سیم ها و کابل های الکترونیکی و برقی
2733,تولید دستگاه های سیم کشی
2740,تولید تجهیزات روشنایی برقی
2750,تولید وسایل برقی خانگی
2790,تولید سایر تجهیزات برقی
2811,تولید موتوروتوربین-بجز موتورهای وسایل نقلیه هوایی، خودرو و موتورسیکلت
2812,ساخت تجهیزات نیروی سیال
2813,تولید سایرپمپ ها،کمپرسورها، شیرها وسوپاپ ها
2814,تولید یاتاقان،  چرخ دنده ودیفرانسیل
2815,تولید اجاق وکوره ومشعل‌های کوره
2816,تولید تجهیزات بالا بر وجابجاکننده
2817,تولید ماشین آلات و تجهیزات دفتری(بجز رایانه و وسایل جانبی)
2818,تولید ابزار دستی موتوردار
2819,تولید سایرماشین آلات باکاربرد عام
2821,تولیدماشین آلات کشاورزی وجنگلداری
2822,اره برقي ثابت -توليد
2823,تولید ماشین آلات متالوژِی - ذوب فلزات
2824,تولیدماشین آلات استخراج معدن وساختمان
2825,تولید ماشین آلات عمل آوری مواد غذایی ، نوشیدنی ها و دخانیات
2826,تولید ماشین آلات برای توليد منسوجات والبسه وچرم
2829,تولید سایرماشین آلات باکاربردخاص
2910,تولید وسايل نقليه موتوري
2920,تولید بدنه ( اتاق ) وسايل نقليه موتوري و ساخت تريلر و نيم تريلر
2930,تولید قطعات و لوازم الحاقی وسايل نقليه موتوري
3011,توليد كشتي و سازه‌هاي شناور
3012,توليد قايق های تفریحی و ورزشي
3020,توليد لوکوموتیو های  راه آهن  و وسایل نقلیه ریلی
3030,توليد هواپیما و فضاپیما و ماشین آلات وابسته
3040,ساخت وسايل نقليه جنگي
3091,توليد موتور سيكلت
3092,توليد دوچرخه و صندلي چرخدار معلولين
3099,توليد ساير وسايل حمل و نقل طبقه بندي نشده در جاي ديگر
3100,توليد مبلمان
3211,توليد جواهرات و كالاهاي وابسته
3212,توليد جواهرات بدلي و كالاهاي وابسته
3220,توليد آلات موسيقي
3230,توليد كالاهاي ورزشي
3240,توليد وسايل بازي و اسباب بازي
3250,ساخت ملزومات و وسايل پزشكي و دندانپزشكي
3290,توليد ساير مصنوعات طبقه بندي نشده در جاي ديگر
